d,tp,b_mla,QKV(us),ATTN(us),O(us),Shared(us),Up_Gemm(us),Down_Gemm(us),Dispatch_AlltoAll(us),Combine_AlltoAll(us),AllReduce(us),t_{dense_layer}(us),t_{moe_layer}(us),TPOT(ms),Single-Device Throughput(Tokens/s)
16,1,8,39,110,115,39,212,0,5,5,0,515,515,31,258
16,1,16,39,212,104,31,226,0,5,5,0,612,612,37,432
16,1,32,43,332,106,33,229,0,5,10,0,743,743,45,711
16,1,64,49,650,103,33,231,0,10,21,0,1066,1066,65,984
16,1,128,68,1251,145,35,279,0,21,43,0,1778,1778,108,1185
24,1,8,39,110,115,39,169,0,5,5,0,472,472,28,285
24,1,16,39,212,104,31,171,0,5,10,0,557,557,33,484
24,1,32,43,332,106,33,183,0,10,21,0,697,697,42,761
24,1,64,49,650,103,33,187,0,21,43,0,1022,1022,62,1032
24,1,128,68,1251,145,35,267,0,43,87,0,1766,1774,108,1185
32,1,8,39,110,115,39,146,0,5,8,0,449,449,27,296
32,1,16,39,212,104,31,147,0,8,16,0,533,533,32,500
32,1,32,43,332,106,33,167,0,16,32,0,681,681,41,780
32,1,64,49,650,103,33,171,0,32,65,0,1006,1006,61,1049
32,1,128,68,1251,145,35,239,0,65,131,0,1738,1768,107,1196
32,1,256,99,2479,189,66,462,0,131,262,0,3295,3360,204,1254
48,1,8,39,110,115,39,128,0,6,13,0,431,431,26,307
48,1,16,39,212,104,31,134,0,13,27,0,520,520,31,516
48,1,32,43,332,106,33,149,0,27,54,0,663,663,40,800
48,1,64,49,650,103,33,212,0,54,109,0,1047,1068,65,984
48,1,128,68,1251,145,35,250,0,109,219,0,1749,1823,110,1163
48,1,256,99,2479,189,66,475,0,219,438,0,3308,3461,210,1219
72,1,8,39,110,115,39,112,0,10,21,0,415,415,25,320
72,1,16,39,212,104,31,113,0,21,43,0,499,499,30,533
72,1,32,43,332,106,33,131,0,43,87,0,645,655,39,820
72,1,64,49,650,103,33,198,0,87,175,0,1033,1087,66,969
72,1,128,68,1251,145,35,210,0,175,350,0,1709,1989,120,1066
72,1,256,99,2479,189,66,440,0,350,701,0,3273,3818,231,1108
96,1,8,39,110,115,39,101,0,10,21,0,404,404,24,333
96,1,16,39,212,104,31,114,0,21,43,0,500,500,30,533
96,1,32,43,332,106,33,172,0,43,87,0,686,696,42,761
96,1,64,49,650,103,33,177,0,87,175,0,1012,1066,64,1000
96,1,128,68,1251,145,35,257,0,175,350,0,1756,1989,120,1066
96,1,256,99,2479,189,66,505,0,350,701,0,3338,3818,231,1108
144,1,8,39,110,115,39,93,0,10,21,0,396,396,24,333
144,1,16,39,212,104,31,104,0,21,43,0,490,490,29,551
144,1,32,43,332,106,33,154,0,43,87,0,668,678,41,780
144,1,64,49,650,103,33,159,0,87,175,0,994,1064,64,1000
144,1,128,68,1251,145,35,204,0,175,350,0,1703,1989,120,1066
144,1,256,99,2479,189,66,426,0,350,701,0,3259,3818,231,1108
288,1,8,39,110,115,39,94,0,10,21,0,397,397,24,333
288,1,16,39,212,104,31,137,0,21,43,0,523,523,31,516
288,1,32,43,332,106,33,139,0,43,87,0,653,663,40,800
288,1,64,49,650,103,33,150,0,87,175,0,985,1064,64,1000
288,1,128,68,1251,145,35,246,0,175,350,0,1745,1989,120,1066
288,1,256,99,2479,189,66,490,0,350,701,0,3323,3818,231,1108
16,2,16,36,109,27,31,213,0,5,5,5,421,421,25,320
16,2,32,36,208,27,33,225,0,5,5,5,534,534,32,500
16,2,64,42,358,28,33,228,0,5,10,5,694,694,42,761
16,2,128,50,699,54,35,231,0,10,21,9,1078,1078,65,984
24,2,8,37,76,33,39,166,0,5,5,5,356,356,21,190
24,2,16,36,109,27,31,170,0,5,5,5,378,378,23,347
24,2,32,36,208,27,33,173,0,5,10,5,482,482,29,551
24,2,64,42,358,28,33,185,0,10,21,5,651,651,39,820
24,2,128,50,699,54,35,189,0,21,43,9,1036,1036,63,1015
32,2,8,37,76,33,39,146,0,5,5,5,336,336,20,200
32,2,16,36,109,27,31,146,0,5,8,5,354,354,21,380
32,2,32,36,208,27,33,149,0,8,16,5,458,458,27,592
32,2,64,42,358,28,33,167,0,16,32,5,633,633,38,842
32,2,128,50,699,54,35,170,0,32,65,9,1017,1017,62,1032
32,2,256,69,1254,81,66,240,0,65,131,18,1728,1728,105,1219
48,2,8,37,76,33,39,125,0,5,6,5,315,315,19,210
48,2,16,36,109,27,31,127,0,6,13,5,335,335,20,400
48,2,32,36,208,27,33,135,0,13,27,5,444,444,27,592
48,2,64,42,358,28,33,150,0,27,54,5,616,616,37,864
48,2,128,50,699,54,35,212,0,54,109,9,1059,1078,65,984
48,2,256,69,1254,81,66,251,0,109,219,18,1739,1782,108,1185
72,2,8,37,76,33,39,112,0,5,10,5,302,302,18,222
72,2,16,36,109,27,31,113,0,10,21,5,321,321,19,421
72,2,32,36,208,27,33,114,0,21,43,5,423,423,25,640
72,2,64,42,358,28,33,131,0,43,87,5,597,607,36,888
72,2,128,50,699,54,35,192,0,87,175,9,1039,1091,66,969
72,2,256,69,1254,81,66,211,0,175,350,18,1699,1947,118,1084
96,2,8,37,76,33,39,98,0,5,10,5,288,288,17,235
96,2,16,36,109,27,31,101,0,10,21,5,309,309,18,444
96,2,32,36,208,27,33,114,0,21,43,5,423,423,25,640
96,2,64,42,358,28,33,174,0,43,87,5,640,650,39,820
96,2,128,50,699,54,35,177,0,87,175,9,1024,1076,65,984
96,2,256,69,1254,81,66,255,0,175,350,18,1743,1947,118,1084
144,2,8,37,76,33,39,94,0,5,10,5,284,284,17,235
144,2,16,36,109,27,31,94,0,10,21,5,302,302,18,444
144,2,32,36,208,27,33,105,0,21,43,5,414,414,25,640
144,2,64,42,358,28,33,155,0,43,87,5,621,631,38,842
144,2,128,50,699,54,35,159,0,87,175,9,1006,1074,65,984
144,2,256,69,1254,81,66,205,0,175,350,18,1693,1947,118,1084
288,2,8,37,76,33,39,81,0,5,10,5,271,271,16,250
288,2,16,36,109,27,31,93,0,10,21,5,301,301,18,444
288,2,32,36,208,27,33,137,0,21,43,5,446,446,27,592
288,2,64,42,358,28,33,139,0,43,87,5,605,615,37,864
288,2,128,50,699,54,35,150,0,87,175,9,997,1074,65,984
288,2,256,69,1254,81,66,244,0,175,350,18,1732,1947,118,1084
16,4,32,36,114,16,33,213,0,5,5,5,417,417,25,320
16,4,64,36,202,16,33,226,0,5,5,7,520,520,31,516
16,4,128,43,366,31,35,228,0,5,10,14,717,717,43,744
24,4,16,35,79,15,31,168,0,5,5,5,333,333,20,200
24,4,32,36,114,16,33,169,0,5,5,5,373,373,22,363
24,4,64,36,202,16,33,171,0,5,10,7,465,465,28,571
24,4,128,43,366,31,35,185,0,10,21,14,674,674,41,780
32,4,16,35,79,15,31,147,0,5,5,5,312,312,19,210
32,4,32,36,114,16,33,147,0,5,8,5,351,351,21,380
32,4,64,36,202,16,33,149,0,8,16,7,443,443,27,592
32,4,128,43,366,31,35,167,0,16,32,14,656,656,40,800
32,4,256,50,730,48,66,171,0,32,65,28,1093,1093,66,969
48,4,8,37,77,18,39,125,0,5,5,5,301,301,18,111
48,4,16,35,79,15,31,125,0,5,6,5,290,290,17,235
48,4,32,36,114,16,33,128,0,6,13,5,332,332,20,400
48,4,64,36,202,16,33,135,0,13,27,7,429,429,26,615
48,4,128,43,366,31,35,150,0,27,54,14,639,639,38,842
48,4,256,50,730,48,66,209,0,54,109,28,1131,1131,68,941
72,4,8,37,77,18,39,110,0,5,5,5,286,286,17,117
72,4,16,35,79,15,31,111,0,5,10,5,276,276,16,250
72,4,32,36,114,16,33,111,0,10,21,5,315,315,19,421
72,4,64,36,202,16,33,114,0,21,43,7,408,408,24,666
72,4,128,43,366,31,35,130,0,43,87,14,619,627,38,842
72,4,256,50,730,48,66,192,0,87,175,28,1114,1135,69,927
96,4,8,37,77,18,39,98,0,5,5,5,274,274,16,125
96,4,16,35,79,15,31,99,0,5,10,5,264,264,16,250
96,4,32,36,114,16,33,101,0,10,21,5,305,305,18,444
96,4,64,36,202,16,33,114,0,21,43,7,408,408,24,666
96,4,128,43,366,31,35,172,0,43,87,14,661,669,40,800
96,4,256,50,730,48,66,178,0,87,175,28,1100,1121,68,941
144,4,8,37,77,18,39,90,0,5,5,5,266,266,16,125
144,4,16,35,79,15,31,91,0,5,10,5,256,256,15,266
144,4,32,36,114,16,33,94,0,10,21,5,298,298,18,444
144,4,64,36,202,16,33,105,0,21,43,7,399,399,24,666
144,4,128,43,366,31,35,154,0,43,87,14,643,651,39,820
144,4,256,50,730,48,66,158,0,87,175,28,1080,1118,68,941
288,4,8,37,77,18,39,81,0,5,5,5,257,257,15,133
288,4,16,35,79,15,31,82,0,5,10,5,247,247,15,266
288,4,32,36,114,16,33,94,0,10,21,5,298,298,18,444
288,4,64,36,202,16,33,139,0,21,43,7,433,433,26,615
288,4,128,43,366,31,35,135,0,43,87,14,624,632,38,842
288,4,256,50,730,48,66,150,0,87,175,28,1072,1118,68,941
16,8,64,36,107,10,33,210,0,5,5,8,404,404,24,333
16,8,128,39,224,11,35,225,0,5,5,16,550,550,33,484
24,8,32,36,71,11,33,169,0,5,5,5,325,325,19,210
24,8,64,36,107,10,33,169,0,5,5,8,363,363,22,363
24,8,128,39,224,11,35,172,0,5,10,16,497,497,30,533
32,8,32,36,71,11,33,146,0,5,5,5,302,302,18,222
32,8,64,36,107,10,33,147,0,5,8,8,341,341,20,400
32,8,128,39,224,11,35,149,0,8,16,16,474,474,28,571
32,8,256,40,397,19,66,168,0,16,32,33,723,723,44,727
48,8,16,34,72,8,31,125,0,5,5,5,275,275,16,125
48,8,32,36,71,11,33,125,0,5,6,5,281,281,17,235
48,8,64,36,107,10,33,127,0,6,13,8,321,321,19,421
48,8,128,39,224,11,35,135,0,13,27,16,460,460,28,571
48,8,256,40,397,19,66,149,0,27,54,33,704,704,42,761
72,8,16,34,72,8,31,110,0,5,5,5,260,260,15,133
72,8,32,36,71,11,33,110,0,5,10,5,266,266,16,250
72,8,64,36,107,10,33,111,0,10,21,8,305,305,18,444
72,8,128,39,224,11,35,114,0,21,43,16,439,439,26,615
72,8,256,40,397,19,66,131,0,43,87,33,686,686,41,780
96,8,8,34,78,10,39,98,0,5,5,5,264,264,16,62
96,8,16,34,72,8,31,98,0,5,5,5,248,248,15,133
96,8,32,36,71,11,33,99,0,5,10,5,255,255,15,266
96,8,64,36,107,10,33,101,0,10,21,8,295,295,17,470
96,8,128,39,224,11,35,114,0,21,43,16,439,439,26,615
96,8,256,40,397,19,66,172,0,43,87,33,727,727,44,727
144,8,8,34,78,10,39,91,0,5,5,5,257,257,15,66
144,8,16,34,72,8,31,90,0,5,5,5,240,240,14,142
144,8,32,36,71,11,33,93,0,5,10,5,249,249,15,266
144,8,64,36,107,10,33,95,0,10,21,8,289,289,17,470
144,8,128,39,224,11,35,104,0,21,43,16,429,429,26,615
144,8,256,40,397,19,66,156,0,43,87,33,711,711,43,744
288,8,8,34,78,10,39,80,0,5,5,5,246,246,15,66
288,8,16,34,72,8,31,81,0,5,5,5,231,231,14,142
288,8,32,36,71,11,33,82,0,5,10,5,238,238,14,285
288,8,64,36,107,10,33,93,0,10,21,8,287,287,17,470
288,8,128,39,224,11,35,137,0,21,43,16,462,462,28,571
288,8,256,40,397,19,66,137,0,43,87,33,692,692,42,761
